"source","target","sum"
"ROW","ITA",16476
"EU27_2020","SVN",16350
"ZNAM","ITA",16260
"NLD","DEU",16024
"EU28","BGR",15947
"EU13","SVK",15805
"NONOECD","CZE",15799
"EU13","HUN",15748
"EU27_2020","BGR",15710
"DEU","CZE",15576
"ZASI","AUT",15309
"G20","LTU",15301
"APEC","FIN",15076
"JPN","FRA",14844
"EU13","AUT",14596
"ESP","ITA",14567
"EA19","SVN",14561
"GBR","DEU",14541
"TUR","DEU",14415
"EASIA","AUT",14176
"NONOECD","FIN",14088
"EU15","SVK",13746
"ZASI","CZE",13560
"BEL","DEU",13361
"BEL","FRA",13358
"NONOECD","DNK",13259
"USA","ITA",13229
"ZEUR","LTU",13188
"EU13","ESP",13113
"RUS","ITA",12922
"GBR","FRA",12891
"ZASI","GRC",12869
"ZASI","DNK",12857
"OECD","LTU",12837
"EASIA","CZE",12760
"NONOECD","BGR",12726
"EASIA","GRC",12490
"KOR","DEU",12323
"EASIA","DNK",12113
"OECD","HRV",11961
"ZSCA","DEU",11893
"ZOTH","POL",11875
"ITA","POL",11729
"NONOECD","HRV",11677
"SWE","DEU",11675
"EU28","LTU",11617
"EU27_2020","LTU",11360
"NONOECD","IRL",11303
"CHN","SWE",11241
"ZNAM","ESP",11192
"EU13","HRV",11171
"ZASI","IRL",11102
"ROW","FRA",11054
"NONOECD","GRC",11052
"ZNAM","NLD",10606
"WLD","LUX",10600
"OECD","BGR",10471
"WLD","EST",10455
"ZNAM","IRL",10412
"EU13","SWE",10385
"EASIA","IRL",10349
"CHN","BEL",10196
"ZOTH","NLD",10166
"RUS","FRA",10092
"AUT","ITA",10079
"ESP","PRT",10032
"DXD","SVK",10020
"SVK","SVK",10020
"ASEAN","DEU",9934
"DEU","HUN",9915
"DEU","DNK",9885
"SVK","DEU",9790
"G20","LUX",9768
"POL","FRA",9757
"G20","EST",9660
"CHE","FRA",9626
"TUR","ITA",9593
"APEC","HUN",9389
"CHN","AUT",9250
"USA","IRL",9237
"JPN","ITA",9163
"EU13","BGR",9129
"APEC","SVK",9123
"WLD","LVA",9012
"NONOECD","HUN",9003
"USA","ESP",8998
"EU13","SVN",8992
"EA19","LTU",8979
"EU13","NLD",8973
"USA","NLD",8971
"TUR","FRA",8931
"ZOTH","BEL",8889
"ZSCA","FRA",8803
"FRA","BEL",8797
"OECD","LUX",8788
"EA19","HRV",8774
"ZASI","FIN",8746
"AUT","FRA",8718
"DXD","HUN",8600
"HUN","HUN",8600
"ZSCA","ITA",8566
"ITA","AUT",8496
"POL","ITA",8426
"G20","LVA",8338
"HUN","DEU",8304
"IND","DEU",8271
"HRV","HRV",8236
"DXD","HRV",8236
"EASIA","FIN",8172
"NLD","FRA",8041
"CHN","CZE",8038
"OECD","EST",7897
"NONOECD","SVK",7879
"ZEUR","EST",7839
"APEC","PRT",7735
"EU13","BEL",7733
"EU15","HRV",7656
"NONOECD","PRT",7610
"ZEUR","LUX",7521
"DEU","IRL",7493
"WLD","CYP",7487
"NLD","BEL",7371
"EU15","SVN",7307
"BGR","BGR",7272
"DXD","BGR",7272
"SVN","SVN",7186
"DXD","SVN",7186
"ZEUR","LVA",7120
"EU28","LUX",7073
"CHN","DNK",7034
"RUS","POL",7009
"ZOTH","AUT",6941
"G20","CYP",6921
"ZNAM","BEL",6917
"KOR","FRA",6841
"EU27_2020","LUX",6817
"OECD","LVA",6816
"EU28","EST",6797
"JPN","NLD",6762
"TWN","DEU",6740
"GBR","IRL",6735
"ZASI","SVK",6708
"EU27_2020","EST",6617
"EU15","BGR",6599
"EU15","LUX",6549
"ITA","NLD",6497
"ITA","BEL",6491
"EA19","BGR",6455
"KOR","ITA",6378
"JPN","ESP",6370
"ROW","ESP",6366
"GBR","ITA",6345
"DEU","FIN",6343
"EASIA","SVK",6287
"ZOTH","SWE",6278
"IND","FRA",6249
"EA19","LUX",6224
"FIN","DEU",6205
"CZE","FRA",6183
"ZNAM","POL",6152
"ZASI","HUN",6135
"NLD","ITA",6108
"EU28","LVA",6067
"IND","ITA",6028
"EU13","LTU",6000
"DEU","SVK",5981
"EU27_2020","LVA",5952
"KOR","GRC",5901
"DEU","PRT",5785
"SWE","FRA",5743
"EASIA","HUN",5712
"CHE","ITA",5668
"FRA","NLD",5653
"CHN","FIN",5642
"FRA","POL",5609
"BEL","ITA",5604
"BEL","NLD",5553
"USA","BEL",5552
"ITA","SWE",5502
"PRT","ESP",5501
"GBR","ESP",5477
"EA19","EST",5459
"CHN","IRL",5451
"ASEAN","FRA",5437
"EU15","LTU",5395
"TUR","ESP",5278
"GBR","NLD",5221
"ZNAM","SWE",5189
"ZASI","PRT",5064
"USA","POL",4963
"JPN","BEL",4836
"CZE","ITA",4827
"ROW","POL",4825
"CHE","AUT",4824
"ROU","DEU",4803
"CHL","DEU",4796
"EASIA","PRT",4736
"IRL","IRL",4732
"DXD","IRL",4732
"EA19","LVA",4671
"SVN","DEU",4667
"ZEUR","CYP",4628
"CHL","FRA",4583
"BRA","DEU",4579
"AUT","POL",4577
"CZE","POL",4548
"PRT","FRA",4540
"POL","ESP",4510
"CHN","GRC",4494
"ZSCA","ESP",4489
"RUS","ESP",4484
"POL","CZE",4466
"EU13","DNK",4464
"ZNAM","AUT",4412
"JPN","POL",4342
"RUS","NLD",4308
"KOR","ESP",4283
"NOR","DEU",4219
"ITA","CZE",4210
"ZOTH","GRC",4175
"USA","SWE",4168
"POL","SWE",4168
"FIN","SWE",4138
"SWE","ITA",4133
"SWE","DNK",4089
"EU13","FIN",4073
"OECD","CYP",4030
"EU28","CYP",4018
"DNK","DEU",4017
"CAN","DEU",4012
"APEC","BGR",3937
"FRA","SWE",3930
"ESP","POL",3901
"SVK","FRA",3877
"ROW","NLD",3874
"NONOECD","SVN",3834
"RUS","BEL",3821
"ZOTH","CZE",3805
"CHL","ITA",3792
"ZOTH","IRL",3755
"DEU","GRC",3672
"EU27_2020","CYP",3668
"IND","ESP",3648
"NONOECD","LTU",3628
"DXD","LTU",3614
"LTU","LTU",3614
"USA","AUT",3570
"NOR","SWE",3553
"KOR","BEL",3551
"CHN","HUN",3529
"AUT","ESP",3528
"ZOTH","FIN",3492
"NLD","ESP",3489
"TWN","FRA",3485
"ASEAN","ITA",3479
"ITA","GRC",3474
"POL","NLD",3470
"ITA","PRT",3459
"FRA","AUT",3454
"EU13","EST",3452
"RUS","FIN",3433
"KOR","POL",3412
"EA19","CYP",3410
"CHN","SVK",3342
"CZE","AUT",3315
"ESP","NLD",3313
"ESP","BEL",3282
"TUR","POL",3263
"APEC","LTU",3239
"NONOECD","CYP",3221
"ITA","HUN",3210
"GBR","BEL",3193
"APEC","SVN",3183
"PRT","DEU",3182
"EU15","EST",3171
"FRA","IRL",3153
"EU13","LVA",3151
"SVK","ITA",3119
"CHN","PRT",3096
"SWE","POL",3094
"SWE","FIN",3066
"CZE","ESP",3050
"ZOTH","DNK",3044
"SVK","POL",3038
"POL","AUT",3028
"GBR","SWE",3016
"MEX","DEU",3003
"ROW","AUT",3002
"ZOTH","HUN",2996
"ROW","BEL",2955
"JPN","IRL",2909
"JPN","SWE",2904
"ZOTH","PRT",2878
"BEL","ESP",2864
"CAN","FRA",2811
"KOR","DNK",2807
"SWE","NLD",2802
"ZOTH","BGR",2796
"FRA","PRT",2790
"DNK","SWE",2787
"ZSCA","NLD",2743
"EU15","LVA",2727
"ITA","IRL",2710
"RUS","AUT",2709
"RUS","SWE",2700
"ASEAN","NLD",2648
"SWE","BEL",2636
"APEC","CYP",2626
"BRA","FRA",2621
"TWN","ITA",2613
"BRA","ITA",2611
"ROU","ITA",2609
"NLD","SWE",2603
"JPN","AUT",2596
"ITA","DNK",2594
"DXD","EST",2585
"EST","EST",2585
"AUT","SWE",2555
"APEC","EST",2552
"ZOTH","SVK",2547
"POL","BEL",2488
"AUT","NLD",2462
"GBR","POL",2456
"APEC","LUX",2455
"DEU","HRV",2440
"ZNAM","CZE",2427
"AUT","CZE",2407
"KOR","NLD",2390
"CHE","ESP",2374
"FIN","FRA",2369
"CZE","SVK",2362
"APEC","HRV",2345
"NONOECD","EST",2343
"SVK","CZE",2338
"SVN","ITA",2330
"EU15","CYP",2296
"KAZ","DEU",2290
"SVK","AUT",2283
"DEU","SVN",2277
"ROU","FRA",2268
"VNM","DEU",2252
"ESP","SWE",2249
"ASEAN","ESP",2239
"ROW","SWE",2231
"IND","BEL",2229
"RUS","CZE",2212
"ZNAM","DNK",2211
"SWE","ESP",2205
"ITA","HRV",2200
"FIN","NLD",2185
"EU13","IRL",2184
"AUT","HUN",2181
"HUN","FRA",2180
"FRA","CZE",2152
"GRC","ITA",2125
"ITA","SVK",2123
"THA","DEU",2113
"EU13","GRC",2110
"IND","NLD",2090
"LUX","DEU",2074
"ZASI","SVN",2065
"NOR","FRA",2062
"NLD","POL",2057
"HUN","ITA",2053
"DEU","BGR",2049
"ZNAM","FIN",2045
"CZE","NLD",2039
"ITA","FIN",2038
"POL","HUN",2029
"ITA","SVN",2026
"ZSCA","BEL",1990
"JPN","CZE",1989
"CZE","BEL",1971
"KAZ","FRA",1970
"NONOECD","LVA",1969
"IDN","DEU",1967
"GRC","DEU",1960
"BEL","POL",1957
"BGR","DEU",1957
"EASIA","SVN",1956
"USA","CZE",1954
"ZAF","DEU",1946
"ESP","AUT",1939
"ZASI","BGR",1937
"CHE","POL",1907
"AUT","BEL",1904
"APEC","LVA",1903
"ZSCA","POL",1901
"CZE","SWE",1877
"EU13","PRT",1842
"RUS","GRC",1827
"POL","DNK",1822
"EASIA","BGR",1813
"TUR","BEL",1810
"TUR","NLD",1799
"KOR","CZE",1796
"CHL","ESP",1775
"USA","DNK",1765
"ROW","FIN",1751
"KAZ","ITA",1746
"LVA","LVA",1739
"DXD","LVA",1739
"DEU","LUX",1726
"HUN","AUT",1721
"TWN","ESP",1714
"RUS","DNK",1712
"BEL","SWE",1696
"ZASI","CYP",1692
"KOR","SVK",1683
"IND","POL",1670
"FIN","ITA",1669
"ZOTH","HRV",1669
"DXD","LUX",1666
"LUX","LUX",1666
"DEU","LTU",1662
"ASEAN","POL",1640
"EASIA","CYP",1631
"MEX","FRA",1628
"USA","FIN",1605
"BGR","ITA",1590
"FRA","DNK",1589
"NONOECD","LUX",1589
"MYS","DEU",1579
"POL","SVK",1567
"TUR","AUT",1558
"EU13","CYP",1556
"ROW","CZE",1544
"TWN","NLD",1530
"ITA","BGR",1529
