"source","target","sum"
"CZE","LTU",152
"EST","LVA",152
"TWN","PRT",151
"GBR","LTU",151
"MYS","POL",150
"CHL","PRT",150
"ROU","SVK",150
"KAZ","IRL",149
"LTU","FIN",149
"CHL","FIN",148
"FRA","EST",144
"SVK","IRL",142
"BGR","NLD",141
"FIN","LTU",141
"NLD","BGR",141
"DNK","CZE",141
"PRT","CZE",140
"CHE","SVN",140
"ZAF","SWE",138
"GBR","BGR",138
"COL","DEU",137
"IRL","DNK",136
"IRL","BEL",136
"SAU","ESP",136
"NOR","IRL",133
"AUS","SWE",132
"GRC","SWE",132
"SGP","NLD",132
"POL","LUX",130
"COL","ESP",129
"SVK","SVN",129
"BGR","CZE",128
"BGR","HUN",127
"HUN","BGR",127
"CHE","BGR",127
"LVA","DEU",126
"DNK","HUN",126
"ROW","CYP",126
"KAZ","CZE",125
"EST","LTU",125
"FIN","PRT",124
"VNM","DNK",124
"IRL","AUT",123
"CHL","SVK",123
"NZL","DEU",123
"EST","FRA",123
"JPN","HRV",122
"ZSCA","SVN",121
"FIN","HUN",120
"ISL","AUT",120
"CHL","HUN",120
"LTU","DNK",120
"IDN","SWE",119
"NLD","HRV",119
"ISR","BEL",119
"MEX","CZE",118
"HUN","SVN",117
"TUR","LTU",117
"RUS","LUX",117
"GRC","CZE",116
"HUN","FIN",116
"COL","ITA",116
"KAZ","FIN",115
"PER","AUT",114
"USA","LVA",113
"HRV","POL",113
"THA","CZE",113
"PER","NLD",112
"SVN","DNK",112
"AUT","LUX",111
"FIN","LVA",111
"LTU","FRA",111
"TUN","ESP",110
"NLD","LUX",107
"JPN","LTU",106
"HUN","IRL",105
"DNK","LTU",102
"MYS","BEL",102
"FRA","LVA",102
"HUN","PRT",102
"LTU","POL",102
"PRT","DNK",101
"BGR","SWE",100
"CHE","LUX",99
"PER","POL",98
"THA","DNK",97
"VNM","FIN",96
"ISL","ESP",96
"GBR","EST",94
"ZAF","AUT",94
"SVK","BGR",93
"KOR","BGR",92
"ZSCA","BGR",92
"KAZ","PRT",92
"MYS","AUT",91
"ROU","DNK",91
"GBR","SVN",90
"AUS","AUT",90
"HRV","ESP",90
"CHE","HRV",89
"BRA","HUN",88
"AUS","IRL",88
"KAZ","HUN",88
"COL","FRA",88
"VNM","IRL",87
"SVK","GRC",86
"HRV","BEL",86
"NOR","PRT",85
"KOR","HRV",84
"BEL","BGR",84
"BEL","HRV",84
"BEL","SVN",84
"VNM","CZE",83
"MYS","CZE",82
"EST","DNK",82
"SWE","BGR",82
"ARG","POL",82
"ISR","AUT",81
"IND","SVN",81
"ASEAN","LUX",80
"ZAF","IRL",80
"ISL","CZE",79
"MYS","SWE",79
"LAO","DEU",79
"SWE","SVN",79
"BEL","LTU",79
"IND","BGR",78
"FRA","CYP",78
"BRA","GRC",77
"ZSCA","HRV",77
"AUT","LVA",76
"MEX","DNK",76
"ARG","FIN",76
"IRL","FIN",75
"NOR","HUN",75
"SWE","HRV",75
"VNM","SVK",74
"CAN","HUN",74
"CAN","GRC",74
"IDN","CZE",74
"ROU","FIN",74
"FIN","GRC",73
"GBR","HRV",73
"DNK","GRC",73
"CAN","PRT",72
"PER","BEL",71
"NLD","SVN",71
"KOR","LUX",70
"THA","IRL",70
"FIN","SVK",70
"MEX","FIN",70
"EST","NLD",70
"KOR","LTU",69
"HRV","SWE",69
"AUS","DNK",68
"PRT","FIN",68
"ROU","SVN",68
"ISL","BEL",67
"KAZ","DNK",67
"ARG","SWE",67
"HUN","GRC",67
"TUR","LVA",66
"SGP","ITA",66
"LUX","CZE",66
"LUX","DNK",66
"BRA","SVK",65
"CZE","LVA",65
"HRV","NLD",65
"IDN","IRL",65
"ZSCA","LUX",64
"ESP","EST",64
"PHL","NLD",64
"IDN","DNK",64
"EST","POL",64
"GRC","DNK",63
"LTU","ITA",63
"HRV","HUN",63
"DNK","PRT",62
"PER","SWE",62
"NZL","FRA",62
"AUS","CZE",62
"ZAF","CZE",61
"AUT","EST",61
"CHE","EST",61
"GBR","LVA",60
"DNK","SVK",60
"ROU","PRT",59
"IND","HRV",58
"AUT","CYP",57
"KAZ","LTU",57
"ESP","CYP",56
"ROU","IRL",56
"ZSCA","LTU",56
"TUR","EST",55
"MEX","HUN",55
"NOR","LTU",54
"COL","NLD",53
"NLD","LVA",53
"ARG","BEL",53
"CHE","LTU",52
"TUN","POL",52
"CZE","LUX",52
"ISR","CZE",52
"LTU","EST",51
"SVN","FIN",51
"DNK","LVA",51
"TUR","CYP",51
"LTU","NLD",51
"ASEAN","BGR",51
"BGR","HRV",51
"NOR","GRC",50
"THA","FIN",50
"ESP","LVA",50
"CZE","EST",49
"PRT","HUN",49
"GRC","HUN",49
"PHL","BEL",49
"HRV","CZE",48
"GRC","PRT",48
"ROU","HRV",48
"GRC","SVK",48
"PER","FIN",48
"NOR","SVK",48
"MEX","PRT",48
"IDN","GRC",48
"PHL","ITA",48
"ZSCA","EST",48
"ASEAN","SVN",48
"LVA","EST",48
"CAN","SVN",46
"JPN","LVA",46
"LVA","FRA",46
"LVA","FIN",46
"SVN","BGR",45
"NLD","CYP",45
"TWN","BGR",45
"KAZ","SVK",45
"NLD","EST",45
"ISL","HUN",45
"IND","LTU",45
"CAN","SVK",44
"SVN","IRL",44
"ISL","SWE",43
"ISR","SWE",43
"ZSCA","CYP",43
"IRL","CZE",43
"LTU","BEL",43
"VNM","GRC",42
"MYS","IRL",42
"PER","IRL",42
"TUR","LUX",42
"EST","ITA",42
"LUX","IRL",42
"VNM","HUN",42
"KOR","EST",41
"LVA","BEL",40
"PRT","GRC",40
"SGP","ESP",39
"SAU","NLD",39
"ISR","IRL",39
"LVA","POL",39
"BEL","LVA",38
"IDN","FIN",38
"SVN","PRT",38
"LAO","FRA",38
"PRT","SVK",38
"SWE","LUX",37
"AUS","FIN",37
"HRV","SVK",37
"BEL","EST",37
"TWN","SVN",36
"GRC","IRL",36
"LTU","ESP",36
"LVA","NLD",36
"AUS","GRC",36
"BGR","DNK",35
"EST","BEL",34
"LUX","FIN",34
"VNM","PRT",33
"CAN","LUX",33
"MYS","FIN",33
"CHL","SVN",33
"BRA","SVN",33
"BGR","SVK",32
"LUX","PRT",32
"IND","LUX",32
"TWN","HRV",32
"SVN","GRC",32
"KAZ","BGR",32
"IND","CYP",32
"MAR","BEL",31
"VNM","LUX",31
"DNK","HRV",31
"FIN","BGR",31
"ZAF","PRT",31
"CHL","BGR",31
"TWN","EST",31
"MAR","POL",31
"ZAF","DNK",31
"GRC","FIN",30
"SAU","BEL",30
"MYS","DNK",30
"SGP","POL",29
"HRV","FIN",29
"ZAF","FIN",29
"IND","EST",29
"CHE","CYP",28
"THA","HUN",28
"MAR","NLD",28
"THA","SVK",28
"ARG","IRL",28
"PHL","ESP",27
"ASEAN","HRV",27
"ASEAN","LTU",27
"KOR","LVA",27
"CHL","HRV",26
"ASEAN","CYP",26
"DNK","EST",26
"SGP","BEL",26
"ARG","AUT",26
"TWN","LTU",26
"BGR","FIN",26
"PER","CZE",26
"EST","ESP",26
"THA","GRC",25
"GRC","HRV",25
"IDN","HUN",25
"IND","LVA",25
"ARG","CZE",24
"HKG","DEU",24
"IRL","PRT",24
"NZL","ITA",24
"PHL","POL",24
"SVK","LVA",23
"MEX","SVK",23
"BGR","PRT",23
"LUX","HUN",23
"ASEAN","EST",23
"MYS","SVK",22
"NZL","NLD",22
"CAN","LVA",22
"ZSCA","LVA",22
"THA","PRT",22
"ZAF","GRC",22
"NOR","EST",22
"PER","PRT",21
"ISR","FIN",21
"SGP","IRL",21
"MYS","HUN",21
"FIN","SVN",21
"MAR","PRT",21
"MEX","GRC",21
"FIN","HRV",20
"IDN","SVK",20
"SAU","POL",20
"IDN","PRT",20
"HRV","DNK",20
"HRV","IRL",20
"IRL","HUN",20
"BGR","IRL",20
"MMR","DEU",20
"KAZ","SVN",19
"PER","DNK",19
"HUN","LTU",19
"LVA","ITA",19
"TUN","BEL",19
"CHE","LVA",19
"CHL","LUX",18
"LUX","GRC",18
"BGR","SVN",18
"DNK","BGR",18
"AUS","HUN",18
"SVK","EST",18
"ISL","DNK",17
"IRL","BGR",17
"SWE","CYP",17
"SGP","SWE",17
"KAZ","HRV",17
"TWN","LUX",17
"CHL","CYP",17
"AUS","PRT",17
"CHL","LTU",16
"ZAF","HUN",16
"AUS","SVK",16
"BRA","BGR",16
"BRA","LUX",16
"BRA","HRV",16
"PRT","LUX",16
"LUX","SVK",15
"CAN","BGR",15
"PER","SVK",15
"ISR","HUN",15
"IRL","GRC",14
"BRA","EST",14
"ARG","DNK",14
"CRI","DEU",14
"PER","HUN",14
"MAR","AUT",14
"LTU","AUT",14
"NOR","LVA",14
"BRA","LTU",14
"MYS","GRC",14
"MAR","SWE",13
"SAU","AUT",13
"ISR","GRC",13
"LAO","ITA",13
"ISL","IRL",13
"ZAF","SVK",13
"ISR","SVK",13
"SVN","LTU",13
"POL","CYP",13
"NOR","SVN",13
"TUN","AUT",12
"MMR","FRA",12
"TWN","CYP",12
"CHL","EST",12
"CAN","HRV",12
"MLT","DEU",12
"ISR","DNK",12
"EST","AUT",12
"TUN","CZE",12
"PER","GRC",12
"NOR","HRV",11
"KAZ","CYP",11
"CAN","CYP",11
"NOR","BGR",11
"PRT","SVN",11
"SGP","CZE",10
"TUN","NLD",10
"SGP","AUT",10
"ASEAN","LVA",10
"COL","BEL",10
"PRT","LTU",10
"PRT","BGR",10
"TWN","LVA",9
"BEL","CYP",9
"MAR","FIN",9
"CZE","CYP",9
"TUN","IRL",9
"LTU","CZE",9
"MAR","IRL",9
"KAZ","LVA",9
"LVA","ESP",9
"MEX","SVN",9
"GRC","SVN",9
"CYP","GRC",9
"SVK","LUX",9
"HUN","LVA",8
"MLT","ITA",8
"ISL","SVK",8
"KHM","DEU",8
"CAN","LTU",8
"TUN","FIN",8
"SGP","DNK",8
"COL","POL",8
"SAU","SWE",8
"CHL","LVA",8
"HKG","FRA",7
"VNM","SVN",7
"MLT","FRA",7
"DNK","SVN",7
"NOR","LUX",7
"MYS","PRT",7
"NZL","ESP",7
"COL","IRL",7
"VNM","BGR",6
"HRV","BGR",6
"ROU","LTU",6
"EST","CZE",6
"FIN","LUX",6
"MEX","LUX",6
"ISL","FIN",6
"ISR","PRT",6
"LUX","LTU",6
"ISL","PRT",6
"MEX","CYP",5
"LAO","ESP",5
"COL","PRT",5
"ZAF","SVN",5
"SAU","IRL",5
"SAU","GRC",5
"HUN","EST",5
"NZL","POL",5
"LUX","BGR",5
"MAR","GRC",4
"MEX","BGR",4
"ARG","PRT",4
"PHL","SWE",4
"HRV","GRC",4
"IRL","SVK",4
"PHL","AUT",4
"GRC","LTU",4
"HUN","LUX",4
"ISR","CYP",4
"PRT","HRV",4
"NZL","BEL",4
"KAZ","EST",4
"LTU","IRL",4
"ROU","LUX",4
"MEX","HRV",4
"HKG","ITA",4
"IRL","LTU",4
"NZL","IRL",4
"SGP","FIN",3
"AUS","SVN",3
"MAR","CZE",3
"MMR","ITA",3
"ARG","GRC",3
"KAZ","LUX",3
"BRA","LVA",3
"DNK","LUX",3
"CYP","DEU",3
"SGP","HUN",3
"TUN","SWE",3
"CAN","EST",3
"LAO","NLD",3
"PHL","IRL",3
"ISR","EST",3
"SAU","DNK",3
"BRA","CYP",3
"MEX","EST",2
"LTU","HUN",2
"SAU","PRT",2
"MEX","LTU",2
"EST","IRL",2
"IDN","SVN",2
"LAO","FIN",2
"PER","SVN",2
"LAO","POL",2
"PER","HRV",2
"BGR","LTU",2
"CRI","IRL",2
"PER","BGR",2
"ARG","HUN",2
"COL","SWE",2
"LTU","PRT",2
"HRV","PRT",2
"EST","HUN",2
"SAU","FIN",1
"ZAF","BGR",1
"HRV","LUX",1
"LUX","HRV",1
"NZL","AUT",1
"PHL","FIN",1
"SAU","SVK",1
"KHM","FRA",1
"COL","FIN",1
"PRT","LVA",1
"BGR","LVA",1
"MAR","DNK",1
"SVN","LUX",1
"LUX","SVN",1
"ZAF","HRV",1
"COL","AUT",1
"PHL","DNK",1
"HKG","ESP",1
"IDN","BGR",1
"LAO","SWE",1
"LVA","IRL",1
"SAU","CZE",1
"IRL","LUX",1
"LVA","AUT",1
"PHL","CZE",1
"TUN","GRC",1
"TUN","PRT",1
"AUS","BGR",1
"BGR","CYP",1
"ISL","GRC",1
"LAO","BEL",1
"AUS","EST",0
"CYP","CZE",0
"HRV","CYP",0
"LAO","AUT",0
"MEX","LVA",0
"KHM","GRC",0
"LVA","SVK",0
"MLT","SVK",0
"ROU","LVA",0
"THA","BGR",0
"SVK","CYP",0
"SGP","LTU",0
"CYP","LUX",0
"LVA","HRV",0
"LVA","LUX",0
"COL","EST",0
"COL","LVA",0
"HKG","CYP",0
"LAO","EST",0
"MMR","CYP",0
"PER","LUX",0
"PHL","EST",0
"ZAF","EST",0
"CRI","FRA",0
"ISR","LUX",0
"KHM","BEL",0
"KHM","ESP",0
"LVA","GRC",0
"LVA","PRT",0
"MYS","LTU",0
"MMR","SWE",0
"MLT","AUT",0
"LTU","HRV",0
"MMR","LUX",0
"MYS","EST",0
"SVN","EST",0
"ARG","LVA",0
"BRN","BEL",0
"BRN","BGR",0
"CRI","SVN",0
"HKG","EST",0
"KHM","SVN",0
"LAO","BGR",0
"MMR","BGR",0
"MMR","LTU",0
"MMR","LVA",0
"MMR","GRC",0
"PER","EST",0
"VNM","EST",0
"ZAF","CYP",0
"CRI","BEL",0
"CRI","AUT",0
"HKG","AUT",0
"KHM","SWE",0
"KHM","CZE",0
"LVA","HUN",0
"MMR","IRL",0
"MMR","POL",0
"PHL","HUN",0
"ARG","SVN",0
"CYP","IRL",0
"EST","SVN",0
"HKG","GRC",0
"ISR","LTU",0
"ISL","LVA",0
"MMR","CZE",0
"MMR","DNK",0
"MAR","BGR",0
"ARG","HRV",0
"COL","SVK",0
"CYP","BGR",0
"FIN","CYP",0
"ISL","LTU",0
"IRL","HRV",0
"MAR","HUN",0
"MLT","FIN",0
"MAR","CYP",0
"LTU","LUX",0
"MLT","LVA",0
"NZL","LTU",0
"PER","LTU",0
"PHL","LUX",0
"THA","LTU",0
"CYP","SVN",0
"BRN","GRC",0
"COL","HRV",0
"ISL","SVN",0
"LAO","CYP",0
"LAO","DNK",0
"MLT","EST",0
"MMR","SVK",0
"NZL","BGR",0
"PER","CYP",0
"PHL","HRV",0
"VNM","LVA",0
"VNM","HRV",0
"ARG","BGR",0
"CRI","DNK",0
"IDN","EST",0
"KHM","IRL",0
"KHM","ITA",0
"MYS","BGR",0
"MLT","BGR",0
"NZL","DNK",0
"MYS","SVN",0
"NZL","SWE",0
"PRT","EST",0
"THA","LVA",0
"THA","CYP",0
"THA","SVN",0
"ZAF","LUX",0
"BRN","ESP",0
"BRN","NLD",0
"COL","HUN",0
"HRV","LTU",0
"TUN","EST",0
"LUX","EST",0
"AUS","LVA",0
"BRN","DNK",0
"BRN","PRT",0
"COL","BGR",0
"COL","CYP",0
"CRI","BGR",0
"KHM","CYP",0
"KHM","SVK",0
"MLT","SVN",0
"COL","DNK",0
"CRI","ITA",0
"BRN","DEU",0
"CRI","POL",0
"HKG","HUN",0
"KHM","POL",0
"MMR","ESP",0
"MMR","AUT",0
"MMR","BEL",0
"NZL","HUN",0
"MLT","LTU",0
"MLT","PRT",0
"SGP","EST",0
"TUN","LUX",0
"EST","HRV",0
"GRC","LUX",0
"ISR","LVA",0
"IRL","LVA",0
"MMR","FIN",0
"LAO","IRL",0
"LVA","SVN",0
"NZL","EST",0
"CYP","SVK",0
"BRN","LUX",0
"ISL","LUX",0
"MLT","LUX",0
"PER","LVA",0
"PHL","CYP",0
"CYP","NLD",0
"CYP","FIN",0
"CRI","FIN",0
"CYP","FRA",0
"EST","GRC",0
"HRV","LVA",0
"IDN","HRV",0
"KHM","NLD",0
"LVA","CZE",0
"LTU","SVK",0
"PHL","PRT",0
"SAU","HUN",0
"SGP","LUX",0
"PHL","SVN",0
"THA","HRV",0
"CYP","LVA",0
"BRN","AUT",0
"BRN","HRV",0
"BRN","POL",0
"CRI","CYP",0
"CRI","HRV",0
"CRI","LUX",0
"HKG","LUX",0
"LAO","SVK",0
"MYS","LVA",0
"MMR","SVN",0
"NZL","CYP",0
"NZL","LVA",0
"SAU","EST",0
"SAU","LVA",0
"TUN","SVN",0
"COL","GRC",0
"CRI","GRC",0
"CYP","BEL",0
"CYP","POL",0
"DNK","CYP",0
"HKG","NLD",0
"HKG","BEL",0
"KHM","AUT",0
"LTU","GRC",0
"NZL","FIN",0
"MLT","NLD",0
"MYS","HRV",0
"SAU","SVN",0
"THA","LUX",0
"TUN","SVK",0
"TUN","CYP",0
"ZAF","LVA",0
"ARG","SVK",0
"AUS","LTU",0
"IDN","LTU",0
"LTU","CYP",0
"MAR","LUX",0
"KHM","LUX",0
"LTU","SVN",0
"NOR","CYP",0
"HKG","PRT",0
"IDN","LVA",0
"LUX","LVA",0
"MAR","SVK",0
"NZL","LUX",0
"PHL","LTU",0
"SGP","SVK",0
"SAU","LTU",0
"CYP","HRV",0
"PRT","CYP",0
"SGP","BGR",0
"BRN","FIN",0
"BRN","LTU",0
"BRN","SVK",0
"HKG","SVN",0
"ISL","CYP",0
"LAO","GRC",0
"LAO","HRV",0
"LAO","SVN",0
"MMR","EST",0
"SAU","LUX",0
"SGP","HRV",0
"ZAF","LTU",0
"CYP","ESP",0
"CYP","HUN",0
"MLT","DNK",0
"MLT","CZE",0
"NZL","CZE",0
"NZL","GRC",0
"MLT","POL",0
"NZL","PRT",0
"MLT","SWE",0
"SVN","LVA",0
"ARG","CYP",0
"HKG","BGR",0
"KHM","PRT",0
"LAO","LVA",0
"VNM","CYP",0
"ARG","LTU",0
"ARG","LUX",0
"BGR","EST",0
"CYP","DNK",0
"CYP","ITA",0
"CYP","SWE",0
"HKG","IRL",0
"IRL","CYP",0
"IRL","SVN",0
"IDN","CYP",0
"MLT","CYP",0
"THA","EST",0
"TUN","LTU",0
"TUN","HRV",0
"BRN","FRA",0
"HKG","CZE",0
"HUN","CYP",0
"HKG","POL",0
"LAO","CZE",0
"SGP","SVN",0
"BGR","LUX",0
"BRN","SVN",0
"HKG","LVA",0
"ISL","BGR",0
"ISL","HRV",0
"AUS","LUX",0
"GRC","LVA",0
"ISR","BGR",0
"MMR","HUN",0
"MLT","HUN",0
"MYS","LUX",0
"TUN","BGR",0
"SGP","CYP",0
"LUX","CYP",0
"ARG","EST",0
"BRN","CZE",0
"BRN","HUN",0
"BRN","LVA",0
"COL","LTU",0
"COL","LUX",0
"HKG","HRV",0
"ISL","EST",0
"KHM","EST",0
"KHM","HRV",0
"KHM","LTU",0
"LAO","HUN",0
"LAO","LUX",0
"MAR","EST",0
"MAR","LVA",0
"PHL","LVA",0
"CRI","ESP",0
"CRI","NLD",0
"EST","SVK",0
"IRL","EST",0
"MLT","GRC",0
"NZL","SVN",0
"ROU","CYP",0
"PHL","BGR",0
"TUN","DNK",0
"TUN","HUN",0
"BRN","ITA",0
"CRI","LTU",0
"CYP","PRT",0
"CRI","SVK",0
"EST","BGR",0
"EST","CYP",0
"MMR","PRT",0
"NZL","SVK",0
"LVA","CYP",0
"TUN","LVA",0
"BRN","IRL",0
"BRN","SWE",0
"KHM","BGR",0
"KHM","HUN",0
"LAO","PRT",0
"MMR","HRV",0
"SAU","BGR",0
"COL","CZE",0
"CRI","HUN",0
"CYP","AUT",0
"EST","PRT",0
"EST","LUX",0
"MAR","SVN",0
"MLT","BEL",0
"MLT","ESP",0
"NZL","HRV",0
"BRN","CYP",0
"BRN","EST",0
"COL","SVN",0
"CRI","EST",0
"CRI","LVA",0
"HKG","LTU",0
"KHM","LVA",0
"LAO","LTU",0
"SAU","CYP",0
"SGP","LVA",0
"VNM","LTU",0
"AUS","CYP",0
"AUS","HRV",0
"CRI","CZE",0
"CYP","LTU",0
"CRI","PRT",0
"CRI","SWE",0
"HKG","DNK",0
"GRC","EST",0
"ISR","HRV",0
"IDN","LUX",0
"KHM","DNK",0
"MAR","LTU",0
"KHM","FIN",0
"MLT","IRL",0
"MYS","CYP",0
"MMR","NLD",0
"ROU","EST",0
"PHL","GRC",0
"PHL","SVK",0
"SVN","CYP",0
"SGP","GRC",0
"SGP","PRT",0
"HKG","FIN",0
"HKG","SVK",0
"HKG","SWE",0
"HRV","EST",0
"ISR","SVN",0
"LTU","BGR",0
"LVA","BGR",0
"MAR","HRV",0
"MLT","HRV",0
"SAU","HRV",0
"CYP","EST",0
