"source","target","sum"
"23","24",8889
"39","11",8803
"11","24",8797
"2","60",8788
"7","44",8774
"15","27",8746
"22","11",8718
"9","42",8600
"42","42",8600
"39","10",8566
"10","22",8496
"18","10",8426
"1","63",8338
"42","8",8304
"43","8",8271
"44","44",8236
"9","44",8236
"16","27",8172
"20","11",8041
"19","28",8038
"2","56",7897
"13","40",7879
"3","56",7839
"12","33",7735
"17","24",7733
"6","44",7656
"13","33",7610
"3","60",7521
"8","50",7493
"0","66",7487
"20","24",7371
"6","46",7307
"45","45",7272
"9","45",7272
"46","46",7186
"9","46",7186
"3","63",7120
"4","60",7073
"19","31",7034
"32","18",7009
"23","22",6941
"1","66",6921
"25","24",6917
"38","11",6841
"5","60",6817
"2","63",6816
"4","56",6797
"30","20",6762
"47","8",6740
"36","50",6735
"15","40",6708
"5","56",6617
"6","45",6599
"6","60",6549
"10","20",6497
"10","24",6491
"7","45",6455
"38","10",6378
"30","14",6370
"34","14",6366
"36","10",6345
"8","27",6343
"16","40",6287
"23","21",6278
"43","11",6249
"7","60",6224
"27","8",6205
"28","11",6183
"25","18",6152
"15","42",6135
"20","10",6108
"4","63",6067
"43","10",6028
"17","54",6000
"8","40",5981
"5","63",5952
"38","35",5901
"8","33",5785
"21","11",5743
"16","42",5712
"29","10",5668
"11","20",5653
"19","27",5642
"11","18",5609
"24","10",5604
"24","20",5553
"26","24",5552
"10","21",5502
"33","14",5501
"36","14",5477
"7","56",5459
"19","50",5451
"41","11",5437
"6","54",5395
"37","14",5278
"36","20",5221
"25","21",5189
"15","33",5064
"26","18",4963
"30","24",4836
"28","10",4827
"34","18",4825
"29","22",4824
"48","8",4803
"49","8",4796
"16","33",4736
"50","50",4732
"9","50",4732
"7","63",4671
"46","8",4667
"3","66",4628
"49","11",4583
"51","8",4579
"22","18",4577
"28","18",4548
"33","11",4540
"18","14",4510
"19","35",4494
"39","14",4489
"32","14",4484
"18","28",4466
"17","31",4464
"25","22",4412
"30","18",4342
"32","20",4308
"38","14",4283
"52","8",4219
"10","28",4210
"23","35",4175
"26","21",4168
"18","21",4168
"27","21",4138
"21","10",4133
"21","31",4089
"17","27",4073
"2","66",4030
"4","66",4018
"31","8",4017
"53","8",4012
"12","45",3937
"11","21",3930
"14","18",3901
"40","11",3877
"34","20",3874
"13","46",3834
"32","24",3821
"23","28",3805
"49","10",3792
"23","50",3755
"8","35",3672
"5","66",3668
"43","14",3648
"13","54",3628
"9","54",3614
"54","54",3614
"26","22",3570
"52","21",3553
"38","24",3551
"19","42",3529
"22","14",3528
"23","27",3492
"20","14",3489
"47","11",3485
"41","10",3479
"10","35",3474
"18","20",3470
"10","33",3459
"11","22",3454
"17","56",3452
"32","27",3433
"38","18",3412
"7","66",3410
"19","40",3342
"28","22",3315
"14","20",3313
"14","24",3282
"37","18",3263
"12","54",3239
"13","66",3221
"10","42",3210
"36","24",3193
"12","46",3183
"33","8",3182
"6","56",3171
"11","50",3153
"17","63",3151
"40","10",3119
"19","33",3096
"21","18",3094
"21","27",3066
"28","14",3050
"23","31",3044
"40","18",3038
"18","22",3028
"36","21",3016
"55","8",3003
"34","22",3002
"23","42",2996
"34","24",2955
"30","50",2909
"30","21",2904
"23","33",2878
"24","14",2864
"53","11",2811
"38","31",2807
"21","20",2802
"23","45",2796
"11","33",2790
"31","21",2787
"39","20",2743
"6","63",2727
"10","50",2710
"32","22",2709
"32","21",2700
"41","20",2648
"21","24",2636
"12","66",2626
"51","11",2621
"47","10",2613
"51","10",2611
"48","10",2609
"20","21",2603
"30","22",2596
"10","31",2594
"9","56",2585
"56","56",2585
"22","21",2555
"12","56",2552
"23","40",2547
"18","24",2488
"22","20",2462
"36","18",2456
"12","60",2455
"8","44",2440
"25","28",2427
"22","28",2407
"38","20",2390
"29","14",2374
"27","11",2369
"28","40",2362
"12","44",2345
"13","56",2343
"40","28",2338
"46","10",2330
"6","66",2296
"57","8",2290
"40","22",2283
"8","46",2277
"48","11",2268
"58","8",2252
"14","21",2249
"41","14",2239
"34","21",2231
"43","24",2229
"32","28",2212
"25","31",2211
"21","14",2205
"10","44",2200
"27","20",2185
"17","50",2184
"22","42",2181
"42","11",2180
"11","28",2152
"35","10",2125
"10","40",2123
"59","8",2113
"17","35",2110
"43","20",2090
"60","8",2074
"15","46",2065
"52","11",2062
"20","18",2057
"42","10",2053
"8","45",2049
"25","27",2045
"28","20",2039
"10","27",2038
"18","42",2029
"10","46",2026
"39","24",1990
"30","28",1989
"28","24",1971
"57","11",1970
"13","63",1969
"61","8",1967
"35","8",1960
"24","18",1957
"45","8",1957
"16","46",1956
"26","28",1954
"62","8",1946
"14","22",1939
"15","45",1937
"29","18",1907
"22","24",1904
"12","63",1903
"39","18",1901
"28","21",1877
"17","33",1842
"32","35",1827
"18","31",1822
"16","45",1813
"37","24",1810
"37","20",1799
"38","28",1796
"49","14",1775
"26","31",1765
"34","27",1751
"57","10",1746
"63","63",1739
"9","63",1739
"8","60",1726
"42","22",1721
"47","14",1714
"32","31",1712
"24","21",1696
"15","66",1692
"38","40",1683
"43","18",1670
"27","10",1669
"23","44",1669
"9","60",1666
"60","60",1666
"8","54",1662
"41","18",1640
"16","66",1631
"55","11",1628
"26","27",1605
"45","10",1590
"11","31",1589
"13","60",1589
"64","8",1579
"18","40",1567
"37","22",1558
"17","66",1556
"34","28",1544
"47","20",1530
"10","45",1529
"23","46",1520
"50","8",1519
"14","50",1506
"42","18",1497
"37","21",1495
"52","20",1491
"65","8",1485
"30","35",1483
"29","20",1478
"25","42",1465
"46","22",1455
"28","42",1453
"15","44",1445
"11","42",1439
"36","31",1437
"34","40",1428
"38","21",1427
"15","54",1420
"52","18",1416
"40","14",1413
"53","10",1410
"40","42",1404
"15","60",1401
"20","31",1399
"37","35",1394
"31","11",1392
"51","14",1391
"18","27",1390
"66","66",1372
"46","11",1372
"9","66",1372
"15","56",1371
"67","11",1368
"30","31",1362
"16","44",1359
"29","24",1357
"16","54",1346
"20","22",1341
"34","42",1313
"16","56",1296
"29","21",1292
"60","11",1266
"32","45",1266
"34","50",1266
"36","22",1261
"19","45",1253
"14","28",1250
"25","33",1249
"55","10",1241
"34","35",1236
"14","31",1235
"16","60",1234
"51","20",1233
"68","10",1222
"69","8",1222
"11","40",1221
"59","11",1209
"21","22",1208
"34","45",1206
"41","24",1203
"47","18",1200
"26","42",1188
"19","46",1187
"43","21",1180
"44","8",1173
"38","50",1168
"39","21",1166
"47","21",1160
"32","54",1156
"58","11",1155
"38","22",1151
"23","54",1149
"35","11",1139
"61","11",1139
"52","14",1130
"18","54",1116
"27","18",1112
"37","45",1111
"11","27",1101
"25","35",1098
"34","31",1098
"30","27",1095
"39","22",1094
"52","31",1092
"32","42",1088
"20","50",1070
"22","40",1066
"24","22",1065
"42","14",1061
"34","44",1060
"70","11",1041
"46","44",1032
"53","14",1025
"27","14",1012
"33","10",1007
"11","35",1004
"41","21",995
"26","33",987
"30","42",973
"36","28",971
"34","33",962
"41","22",960
"29","28",959
"32","40",951
"68","8",949
"71","8",931
"19","54",928
"52","10",921
"22","44",919
"32","50",912
"22","31",903
"65","11",901
"14","27",900
"51","24",899
"19","44",898
"8","63",882
"26","35",873
"39","50",866
"37","28",863
"34","46",855
"10","54",855
"14","35",851
"53","20",847
"48","14",840
"39","33",835
"43","22",834
"19","56",826
"37","50",820
"58","10",819
"36","27",816
"45","11",808
"25","40",807
"62","10",805
"22","46",802
"31","10",794
"55","14",788
"21","28",788
"31","20",786
"31","18",783
"49","20",771
